s_sat,rdamm1_ts1,su_ts1,supeca_ts1,rdamm_ts2,su_ts2,supeca_ts2
0,0,0,0,0,0,0
0.01,0.001,0,0.001,0.001,0,0.001
0.02,0.002,0,0.002,0.002,0,0.002
0.03,0.005,0.001,0.005,0.005,0.001,0.005
0.04,0.011,0.001,0.011,0.011,0.001,0.011
0.05,0.023,0.003,0.023,0.022,0.002,0.022
0.06,0.042,0.006,0.042,0.041,0.005,0.041
0.07,0.07,0.01,0.07,0.068,0.008,0.068
0.08,0.106,0.016,0.106,0.102,0.013,0.102
0.09,0.148,0.025,0.148,0.143,0.021,0.143
0.1,0.193,0.037,0.194,0.187,0.031,0.187
0.11,0.24,0.051,0.241,0.233,0.043,0.233
0.12,0.286,0.07,0.287,0.277,0.058,0.277
0.13,0.33,0.092,0.33,0.319,0.077,0.319
0.14,0.37,0.117,0.371,0.359,0.098,0.358
0.15,0.407,0.146,0.407,0.394,0.122,0.394
0.16,0.44,0.177,0.441,0.426,0.148,0.426
0.17,0.47,0.211,0.471,0.455,0.176,0.455
0.18,0.497,0.246,0.498,0.482,0.206,0.482
0.19,0.522,0.283,0.523,0.506,0.237,0.505
0.2,0.544,0.32,0.545,0.527,0.268,0.527
0.21,0.564,0.358,0.566,0.547,0.299,0.547
0.22,0.583,0.395,0.585,0.566,0.33,0.565
0.23,0.601,0.432,0.602,0.583,0.361,0.583
0.24,0.617,0.467,0.619,0.599,0.391,0.598
0.25,0.633,0.502,0.634,0.614,0.42,0.613
0.26,0.647,0.536,0.649,0.628,0.448,0.628
0.27,0.661,0.568,0.662,0.641,0.475,0.641
0.28,0.674,0.598,0.676,0.654,0.501,0.654
0.29,0.686,0.628,0.688,0.666,0.526,0.666
0.3,0.698,0.656,0.7,0.678,0.549,0.677
0.31,0.71,0.682,0.712,0.689,0.572,0.689
0.32,0.721,0.707,0.723,0.7,0.593,0.699
0.33,0.732,0.731,0.733,0.71,0.614,0.71
0.34,0.742,0.754,0.744,0.72,0.633,0.72
0.35,0.752,0.775,0.754,0.73,0.652,0.73
0.36,0.762,0.796,0.764,0.739,0.67,0.739
0.37,0.771,0.815,0.773,0.749,0.687,0.749
0.38,0.78,0.833,0.782,0.758,0.703,0.758
0.39,0.789,0.85,0.791,0.767,0.719,0.766
0.4,0.798,0.866,0.8,0.775,0.734,0.775
0.41,0.806,0.88,0.808,0.784,0.748,0.783
0.42,0.815,0.894,0.817,0.792,0.762,0.792
0.43,0.823,0.907,0.825,0.8,0.775,0.8
0.44,0.831,0.918,0.833,0.808,0.787,0.808
0.45,0.839,0.929,0.84,0.816,0.799,0.815
0.46,0.846,0.939,0.848,0.823,0.81,0.823
0.47,0.854,0.948,0.855,0.831,0.821,0.831
0.48,0.861,0.956,0.862,0.838,0.832,0.838
0.49,0.868,0.963,0.869,0.845,0.842,0.845
0.51,0.875,0.969,0.876,0.852,0.851,0.852
0.52,0.882,0.975,0.883,0.859,0.86,0.859
0.53,0.889,0.98,0.89,0.866,0.869,0.866
0.54,0.895,0.985,0.896,0.873,0.877,0.873
0.55,0.902,0.989,0.902,0.879,0.886,0.879
0.56,0.908,0.992,0.909,0.886,0.893,0.886
0.57,0.914,0.995,0.915,0.892,0.901,0.892
0.58,0.92,0.997,0.921,0.899,0.908,0.899
0.59,0.926,0.999,0.927,0.905,0.915,0.905
0.6,0.932,1,0.932,0.911,0.922,0.911
0.61,0.937,1,0.938,0.918,0.929,0.918
0.62,0.943,1,0.943,0.924,0.936,0.924
0.63,0.948,0.999,0.949,0.93,0.942,0.93
0.64,0.954,0.997,0.954,0.936,0.948,0.936
0.65,0.959,0.994,0.959,0.941,0.954,0.941
0.66,0.963,0.991,0.964,0.947,0.96,0.947
0.67,0.968,0.986,0.968,0.953,0.966,0.953
0.68,0.973,0.98,0.973,0.959,0.972,0.959
0.69,0.977,0.974,0.977,0.964,0.977,0.964
0.7,0.981,0.965,0.981,0.97,0.982,0.97
0.71,0.985,0.956,0.985,0.975,0.987,0.975
0.72,0.988,0.945,0.988,0.981,0.992,0.981
0.73,0.991,0.932,0.991,0.986,0.996,0.986
0.74,0.994,0.917,0.994,0.991,0.999,0.991
0.75,0.996,0.901,0.996,0.996,1,0.996
0.76,0.998,0.882,0.998,1,0.996,1
0.77,0.999,0.86,0.999,0.996,0.975,0.996
0.78,1,0.836,1,0.924,0.916,0.924
0.79,1,0.81,1,0.829,0.833,0.828
0.8,0.998,0.78,0.998,0.738,0.746,0.737
0.81,0.996,0.747,0.996,0.652,0.662,0.652
0.82,0.992,0.71,0.992,0.573,0.582,0.573
0.83,0.986,0.671,0.986,0.5,0.508,0.5
0.84,0.979,0.628,0.979,0.432,0.44,0.432
0.85,0.968,0.581,0.968,0.37,0.377,0.37
0.86,0.954,0.531,0.954,0.314,0.32,0.314
0.87,0.936,0.479,0.936,0.263,0.268,0.262
0.88,0.912,0.425,0.912,0.217,0.221,0.217
0.89,0.881,0.369,0.881,0.176,0.179,0.176
0.9,0.841,0.313,0.841,0.14,0.143,0.14
0.91,0.79,0.258,0.79,0.109,0.111,0.109
0.92,0.725,0.205,0.725,0.082,0.084,0.082
0.93,0.642,0.156,0.642,0.059,0.061,0.059
